地区,2017年,2016年,2015年,2014年,2013年
北京,128994,118198,106497,99995,94648
天津,118944,115053,107960,105231,100105
河北,45387,43062,40255,39984,38909
山西,42060,35532,34919,35070,34984
内蒙古,63764,72064,71101,71046,67836
辽宁,53527,50791,65354,65201,61996
吉林,54838,53868,51086,50160,47428
黑龙江,41916,40432,39462,39226,37697
上海,126634,116562,103796,97370,90993
江苏,107150,96887,87995,81874,75354
浙江,92057,84916,77644,73002,68805
安徽,43401,39561,35997,34425,32001
福建,82677,74707,67966,63472,58145
江西,43424,40400,36724,34674,31930
山东,72807,68733,64168,60879,56885
河南,46674,42575,39123,37072,34211
湖北,60199,55665,50654,47145,42826
湖南,49558,46382,42754,40271,36943
广东,80932,74016,67503,63469,58833
广西,38102,38027,35190,33090,30741
海南,48430,44347,40818,38924,35663
重庆,63442,58502,52321,47850,43223
四川,44651,40003,36775,35128,32617
贵州,37956,33246,29847,26437,23151
云南,34221,31093,28806,27264,25322
西藏,39267,35184,31999,29252,26326
陕西,57266,51015,47626,46929,43117
甘肃,28497,27643,26165,26433,24539
青海,44047,43531,41252,39671,36875
宁夏,50765,47194,43805,41834,39613
新疆,44941,40564,40036,40648,37553
